epoch;accuracy;loss;val_accuracy;val_loss
0;0.3962264060974121;6151849.5;NA;NA
1;0.4433962404727936;1.079411506652832;NA;NA
2;0.4433962404727936;1.0764027833938599;NA;NA
3;0.4150943458080292;1.0722630023956299;NA;NA
4;0.4433962404727936;1.0770066976547241;NA;NA
5;0.4433962404727936;1.0755001306533813;NA;NA
6;0.4433962404727936;1.0784080028533936;NA;NA
7;0.4433962404727936;1.0755568742752075;NA;NA
8;0.4150943458080292;1.072372317314148;NA;NA
9;0.43396225571632385;1.0753892660140991;NA;NA
10;0.4433962404727936;1.074074149131775;NA;NA
11;0.4433962404727936;1.0765981674194336;NA;NA
12;0.4433962404727936;1.076154351234436;NA;NA
13;0.4433962404727936;1.0776822566986084;NA;NA
14;0.4433962404727936;1.0714722871780396;NA;NA
15;0.4433962404727936;1.0705418586730957;NA;NA
16;0.4245283007621765;1.0785479545593262;NA;NA
17;0.43396225571632385;1.0758811235427856;NA;NA
18;0.43396225571632385;1.0744569301605225;NA;NA
19;0.4433962404727936;1.0763232707977295;NA;NA
20;0.4245283007621765;1.0763291120529175;NA;NA
21;0.4433962404727936;1.0749905109405518;NA;NA
22;0.4433962404727936;1.0758262872695923;NA;NA
23;0.4245283007621765;1.0761808156967163;NA;NA
24;0.43396225571632385;1.075680136680603;NA;NA
25;0.43396225571632385;1.0760513544082642;NA;NA
26;0.4433962404727936;1.0774610042572021;NA;NA
27;0.4433962404727936;1.0752164125442505;NA;NA
28;0.4433962404727936;1.077440857887268;NA;NA
29;0.4245283007621765;1.0764286518096924;NA;NA
30;0.40566039085388184;1.0753529071807861;NA;NA
31;0.43396225571632385;1.0748224258422852;NA;NA
32;0.4433962404727936;1.0676662921905518;NA;NA
33;0.43396225571632385;1.0751768350601196;NA;NA
34;0.4433962404727936;1.0779372453689575;NA;NA
35;0.4433962404727936;1.07297682762146;NA;NA
36;0.4433962404727936;1.0784534215927124;NA;NA
37;0.4433962404727936;1.0774555206298828;NA;NA
38;0.4433962404727936;1.0741688013076782;NA;NA
39;0.40566039085388184;1.0719980001449585;NA;NA
40;0.4433962404727936;1.0745388269424438;NA;NA
41;0.4245283007621765;1.0773868560791016;NA;NA
42;0.4433962404727936;1.0749934911727905;NA;NA
43;0.4433962404727936;1.0762805938720703;NA;NA
44;0.38679245114326477;1.076833963394165;NA;NA
45;0.4245283007621765;1.0744850635528564;NA;NA
46;0.4433962404727936;1.078797698020935;NA;NA
47;0.4433962404727936;1.0769928693771362;NA;NA
48;0.4433962404727936;1.0766534805297852;NA;NA
49;0.4433962404727936;1.078059196472168;NA;NA
50;0.4433962404727936;1.0758087635040283;NA;NA
51;0.4433962404727936;1.0727460384368896;NA;NA
52;0.4245283007621765;1.0775437355041504;NA;NA
53;0.43396225571632385;1.0763623714447021;NA;NA
54;0.4433962404727936;1.076870083808899;NA;NA
55;0.43396225571632385;1.0777792930603027;NA;NA
56;0.4433962404727936;1.0768091678619385;NA;NA
57;0.4433962404727936;1.0776318311691284;NA;NA
58;0.4433962404727936;1.077183485031128;NA;NA
59;0.4150943458080292;1.0718849897384644;NA;NA
60;0.4433962404727936;1.0778181552886963;NA;NA
61;0.4245283007621765;1.0745670795440674;NA;NA
62;0.4433962404727936;1.069656491279602;NA;NA
63;0.4433962404727936;1.0784047842025757;NA;NA
64;0.4433962404727936;1.0764471292495728;NA;NA
65;0.4433962404727936;1.0750036239624023;NA;NA
66;0.4433962404727936;1.0760180950164795;NA;NA
67;0.4245283007621765;1.0723570585250854;NA;NA
68;0.4433962404727936;1.073834776878357;NA;NA
69;0.43396225571632385;1.0757958889007568;NA;NA
70;0.4433962404727936;1.0752109289169312;NA;NA
71;0.4245283007621765;1.077353835105896;NA;NA
72;0.4433962404727936;1.0773533582687378;NA;NA
73;0.4433962404727936;1.0779749155044556;NA;NA
74;0.4433962404727936;1.0764672756195068;NA;NA
75;0.4150943458080292;1.0710874795913696;NA;NA
76;0.4433962404727936;1.0774117708206177;NA;NA
77;0.4433962404727936;1.0759330987930298;NA;NA
78;0.4433962404727936;1.0773699283599854;NA;NA
79;0.4433962404727936;1.0765316486358643;NA;NA
80;0.4433962404727936;1.0771193504333496;NA;NA
81;0.4150943458080292;1.0762773752212524;NA;NA
82;0.4433962404727936;1.0769304037094116;NA;NA
83;0.4245283007621765;1.0771814584732056;NA;NA
84;0.4433962404727936;1.0739485025405884;NA;NA
85;0.43396225571632385;1.076302170753479;NA;NA
86;0.4433962404727936;1.0746793746948242;NA;NA
87;0.43396225571632385;1.0756341218948364;NA;NA
88;0.4433962404727936;1.0781110525131226;NA;NA
89;0.4433962404727936;1.0783666372299194;NA;NA
90;0.4433962404727936;1.0781450271606445;NA;NA
91;0.4433962404727936;1.0754598379135132;NA;NA
92;0.43396225571632385;1.0756348371505737;NA;NA
93;0.4433962404727936;1.0773636102676392;NA;NA
94;0.4433962404727936;1.0763523578643799;NA;NA
95;0.4433962404727936;1.0751675367355347;NA;NA
96;0.4433962404727936;1.0766432285308838;NA;NA
97;0.43396225571632385;1.0768309831619263;NA;NA
98;0.4433962404727936;1.0766782760620117;NA;NA
99;0.4433962404727936;1.0746759176254272;NA;NA
